epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,521.528,1.78439,1.47625,1.51549,0.73239,0.54781,0.74811,0.37152,1.75713,1.3455,1.70631,0.00142976,0.00142976,0.00142976
146,525.146,1.62936,1.4679,1.47334,0.66267,0.72,0.7817,0.31335,1.92,1.50536,1.79447,0.0014258,0.0014258,0.0014258
147,528.568,1.73011,1.40101,1.52419,0.63676,0.88,0.79088,0.36368,1.77541,1.2778,1.70236,0.00142184,0.00142184,0.00142184
148,532.017,1.87329,1.55349,1.55963,0.6531,0.60255,0.74616,0.35523,1.67461,1.50197,1.68652,0.00141788,0.00141788,0.00141788
149,535.481,1.70308,1.38817,1.55332,0.68586,0.56,0.69227,0.2625,2.11441,1.4565,1.91472,0.00141392,0.00141392,0.00141392
150,538.917,1.7439,1.48303,1.57629,0.45703,0.56,0.56611,0.21929,2.016,1.52805,1.83394,0.00140996,0.00140996,0.00140996
151,542.376,1.89592,1.53072,1.66476,0.66786,0.52,0.63845,0.24375,2.06287,1.48225,1.95085,0.001406,0.001406,0.001406
152,545.826,1.85994,1.48422,1.68959,0.67677,0.52,0.63691,0.30353,1.65832,6.52728,1.62031,0.00140204,0.00140204,0.00140204
153,549.413,1.69205,1.5007,1.52483,0.52038,0.76,0.66071,0.30802,1.74602,1.61202,1.72787,0.00139808,0.00139808,0.00139808
154,552.907,1.9474,1.51486,1.61248,0.58115,0.64,0.57023,0.25863,1.81646,1.52035,1.68754,0.00139412,0.00139412,0.00139412
155,556.387,1.71239,1.3805,1.54174,0.73342,0.6,0.71279,0.30053,1.91892,1.44145,1.75375,0.00139016,0.00139016,0.00139016
156,559.818,1.75077,1.30488,1.48285,0.50359,0.68,0.55329,0.28833,1.88303,1.61682,1.84059,0.0013862,0.0013862,0.0013862
157,563.341,1.897,1.36459,1.57548,0.63032,0.68,0.71328,0.29911,1.96728,1.52035,1.81027,0.00138224,0.00138224,0.00138224
158,566.943,1.88609,1.50844,1.60765,0.65394,0.68,0.69445,0.3369,1.78521,1.41795,1.7467,0.00137828,0.00137828,0.00137828
159,570.419,1.74253,1.36127,1.57239,0.49016,0.69244,0.53412,0.17667,1.99118,1.58264,1.8353,0.00137432,0.00137432,0.00137432
160,573.883,1.7302,1.55702,1.5,0.39272,0.77622,0.42125,0.14331,2.00877,1.61993,1.8417,0.00137036,0.00137036,0.00137036
161,577.325,1.75714,1.41873,1.63819,0.60603,0.64,0.61551,0.25792,1.78931,1.41814,1.71378,0.0013664,0.0013664,0.0013664
162,580.811,1.89605,1.56422,1.67993,0.80274,0.6,0.7472,0.34041,1.67631,1.32413,1.68892,0.00136244,0.00136244,0.00136244
163,584.332,1.82265,1.42015,1.54936,0.73384,0.68,0.73627,0.29524,1.75871,1.34981,1.71434,0.00135848,0.00135848,0.00135848
164,587.817,1.73663,1.53232,1.50346,0.81483,0.68,0.75403,0.28199,1.78136,1.48461,1.70243,0.00135452,0.00135452,0.00135452
165,591.437,1.77133,1.52225,1.58835,0.6729,0.76,0.79614,0.37302,1.60431,1.50574,1.62975,0.00135056,0.00135056,0.00135056
166,595.139,1.73529,1.49833,1.49789,0.4922,0.76,0.68459,0.27193,1.83821,1.39561,1.85552,0.0013466,0.0013466,0.0013466
167,598.87,1.8195,1.65886,1.57201,0.64648,0.56,0.63857,0.24404,1.81801,1.79634,1.68003,0.00134264,0.00134264,0.00134264
168,602.748,1.81553,1.5297,1.59853,0.44602,0.56,0.39624,0.17224,1.96583,1.95672,1.77001,0.00133868,0.00133868,0.00133868
169,606.226,1.66422,1.41765,1.4761,0.37842,0.5601,0.45877,0.17342,1.93276,1.89299,1.76759,0.00133472,0.00133472,0.00133472
170,609.743,1.72237,1.36891,1.55516,0.33611,0.2,0.18389,0.07588,2.14938,4.21823,1.84914,0.00133076,0.00133076,0.00133076
171,613.27,1.79637,1.45664,1.62368,0.01055,0.36,0.01407,0.00481,2.31168,4.40555,1.91621,0.0013268,0.0013268,0.0013268
172,616.859,1.7472,1.27209,1.50376,0.64651,0.76,0.6863,0.30054,1.82025,1.69556,1.73184,0.00132284,0.00132284,0.00132284
173,620.306,1.76859,1.36653,1.53719,0.50799,0.74366,0.61617,0.21018,2.14868,1.69006,1.84844,0.00131888,0.00131888,0.00131888
174,623.776,1.91841,1.34163,1.6604,0.67607,0.6682,0.72231,0.28594,1.89189,1.50279,1.79424,0.00131492,0.00131492,0.00131492
175,627.246,1.68598,1.33848,1.48829,0.66712,0.72152,0.71849,0.33047,1.73168,1.37371,1.72159,0.00131096,0.00131096,0.00131096
176,630.741,1.74515,1.33752,1.61331,0.65414,0.72,0.75926,0.31819,1.8175,1.35415,1.73606,0.001307,0.001307,0.001307
177,634.239,1.86607,1.46294,1.56208,0.6677,0.68,0.65446,0.2406,1.81629,1.46385,1.79579,0.00130304,0.00130304,0.00130304
178,637.773,1.82825,1.37174,1.54271,0.66464,0.76,0.69787,0.27786,1.89513,1.4844,1.76337,0.00129908,0.00129908,0.00129908
179,641.25,1.81592,1.6096,1.44575,0.71024,0.72,0.77248,0.34514,1.67737,1.41146,1.63823,0.00129512,0.00129512,0.00129512
180,644.727,1.81005,1.52262,1.5711,0.66777,0.8,0.7394,0.33285,1.66499,1.3664,1.65148,0.00129116,0.00129116,0.00129116
181,648.174,1.7132,1.46161,1.48717,0.61973,0.78257,0.7553,0.32165,1.83288,1.47864,1.73346,0.0012872,0.0012872,0.0012872
182,651.667,1.73599,1.37923,1.5257,0.61719,0.76,0.68132,0.30173,1.67609,1.43275,1.67388,0.00128324,0.00128324,0.00128324
183,655.161,1.65944,1.28918,1.53929,0.72128,0.8,0.77486,0.29361,1.91951,1.38199,1.76333,0.00127928,0.00127928,0.00127928
184,658.707,1.71086,1.26045,1.49322,0.57622,0.8161,0.71686,0.28859,1.91815,1.27864,1.72688,0.00127532,0.00127532,0.00127532
