epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,482.415,2.08902,1.8604,2.38987,0.35352,0.6,0.42053,0.15717,2.24396,34.8798,2.78031,0.00160966,0.00160966,0.00160966
140,485.628,1.90514,1.9006,2.13987,0.67472,0.4,0.56086,0.23871,2.12867,2.15839,2.6934,0.00160683,0.00160683,0.00160683
141,488.835,1.76792,1.65918,2.06794,0.52476,0.46667,0.59975,0.24599,2.09343,1.82691,2.67172,0.001604,0.001604,0.001604
142,492.044,1.96211,1.75144,2.21473,0.62541,0.6,0.68043,0.25112,1.88966,1.60544,2.51589,0.00160117,0.00160117,0.00160117
143,495.265,1.7092,1.81761,2.00791,0.44699,0.43223,0.44108,0.15367,1.83601,2.38647,2.55156,0.00159834,0.00159834,0.00159834
144,498.489,1.94431,1.69646,2.27103,0.32104,0.63101,0.39829,0.18292,1.87004,1.86616,2.47545,0.00159551,0.00159551,0.00159551
145,501.749,1.95402,1.76698,2.1749,0.45976,0.46667,0.46698,0.20513,1.96927,2.94748,2.64476,0.00159269,0.00159269,0.00159269
146,504.979,2.07028,1.79508,2.21381,0.38729,0.53333,0.43625,0.20873,1.82366,1.72295,2.58231,0.00158986,0.00158986,0.00158986
147,508.258,1.94888,1.77039,2.23421,0.41307,0.46667,0.47627,0.22407,1.90433,1.85359,2.58301,0.00158703,0.00158703,0.00158703
148,511.541,2.01053,1.84348,2.40278,0.39069,0.66667,0.4979,0.24831,1.77214,4.20424,2.47103,0.0015842,0.0015842,0.0015842
149,514.796,1.90524,1.86994,2.173,0.43535,0.33333,0.31493,0.16605,1.80023,15.0284,2.46033,0.00158137,0.00158137,0.00158137
150,518.081,1.68864,1.63436,2.07173,0.4673,0.46667,0.55855,0.24235,1.92807,1.90878,2.51712,0.00157854,0.00157854,0.00157854
151,521.308,2.16071,1.90178,2.35206,0.43041,0.53333,0.62931,0.21673,2.19613,1.89969,2.72356,0.00157571,0.00157571,0.00157571
152,524.495,2.09341,1.70468,2.26007,0.55365,0.49738,0.57488,0.25639,2.39866,1.96885,2.86447,0.00157289,0.00157289,0.00157289
153,527.749,1.91431,1.7786,2.22666,0.57651,0.46667,0.59165,0.25235,2.21145,1.76925,2.75621,0.00157006,0.00157006,0.00157006
154,531.011,1.90515,1.6598,2.17032,0.64587,0.4,0.61049,0.2958,1.97903,1.71456,2.58816,0.00156723,0.00156723,0.00156723
155,534.295,1.99741,1.7802,2.24564,0.52517,0.6,0.63433,0.31724,1.96632,1.92527,2.51429,0.0015644,0.0015644,0.0015644
156,537.516,1.67198,1.56946,2.03643,0.57488,0.53333,0.66747,0.30062,1.84522,1.76678,2.53196,0.00156157,0.00156157,0.00156157
157,540.798,1.81566,1.91058,2.06255,0.43847,0.53333,0.59618,0.2519,1.94437,1.9314,2.60433,0.00155874,0.00155874,0.00155874
158,544.118,1.92322,1.62826,2.25267,0.37624,0.6,0.49796,0.21874,1.97041,2.34317,2.5185,0.00155591,0.00155591,0.00155591
159,547.474,1.96265,1.60828,2.19304,0.78528,0.6,0.59158,0.27697,1.85612,6.6431,2.52996,0.00155309,0.00155309,0.00155309
160,550.692,1.81571,1.6152,2.05536,0.35796,0.66911,0.57457,0.27399,1.89312,3.90114,2.47128,0.00155026,0.00155026,0.00155026
161,553.898,1.92968,1.63926,2.135,0.40198,0.46667,0.44974,0.1936,1.83091,1.72568,2.54986,0.00154743,0.00154743,0.00154743
162,557.157,1.97123,1.64142,2.30533,0.51409,0.6,0.52525,0.22151,1.94621,1.71313,2.58729,0.0015446,0.0015446,0.0015446
163,560.372,1.92223,1.73973,2.19096,0.51387,0.56477,0.60553,0.2438,2.03051,1.55397,2.59819,0.00154177,0.00154177,0.00154177
164,563.645,2.18258,1.82324,2.35327,0.45852,0.56543,0.51944,0.24065,2.0199,1.69038,2.62327,0.00153894,0.00153894,0.00153894
165,566.846,2.06487,1.83505,2.32965,0.46057,0.46667,0.49449,0.1984,1.91088,1.68226,2.55246,0.00153611,0.00153611,0.00153611
166,570.118,1.95726,1.61146,2.18875,0.63857,0.58959,0.56519,0.20965,1.89846,1.88782,2.48175,0.00153329,0.00153329,0.00153329
